"Object","Filter","Cadence","MJD","Duration","Flux","Error","Coadd"
"Mrk509","SX",1015,57844.73058,1033.0080768,1.416754,0.067004,FALSE
"Mrk509","UVW2",1015,57844.7317282265,341.877120018005,5.0572665,0.062867526,FALSE
"Mrk509","V",1015,57844.7342662452,84.7769800424576,1.2456177,0.028653603,FALSE
"Mrk509","UVM2",1015,57844.7361823213,237.891839981079,4.4256286,0.067789397,FALSE
"Mrk509","HX",1016,57845.66469,298.3680576,0.684362,0.084413,FALSE
"Mrk509","SX",1016,57845.66469,298.3680576,1.254042,0.115224,FALSE
"Mrk509","UVW1",1016,57845.6648938726,158.774780035019,3.976802,0.059196486,FALSE
"Mrk509","U",1016,57845.6663189582,78.7640200257301,2.8081966,0.051382014,FALSE
"Mrk509","B",1016,57845.6671232505,51.2589600086212,1.591324,0.034960396,FALSE
"Mrk509","U",1017,57846.7319902648,80.7388800382614,2.6566509,0.04823466,FALSE
"Mrk509","B",1017,57846.7329830359,80.7278800010681,1.5218758,0.028173758,FALSE
"Mrk509","HX",1017,57846.73431,990.3840192,0.973869,0.066223,FALSE
"Mrk509","SX",1017,57846.73431,990.3840192,1.339066,0.077913,FALSE
"Mrk509","V",1017,57846.7377835685,80.7830400466919,1.1505634,0.027733328,FALSE
"Mrk509","UVW1",1018,57847.5830490078,175.754399955273,3.8028967,0.055315026,FALSE
"Mrk509","U",1018,57847.584626179,87.7779200077057,2.7633013,0.048775196,FALSE
"Mrk509","B",1018,57847.5856956316,87.777899980545,1.5360155,0.027472968,FALSE
"Mrk509","HX",1018,57847.58726,1078.1399808,0.815427,0.048846,FALSE
"Mrk509","SX",1018,57847.58726,1078.1399808,1.308239,0.061964,FALSE
"Mrk509","UVW2",1018,57847.5883046486,351.784620046616,4.7409833,0.059075476,FALSE
"Mrk509","V",1018,57847.5909051741,87.7668800354004,1.22056524,0.02774052,FALSE
"Mrk509","UVM2",1018,57847.5929848284,262.594500005245,4.1039407,0.06212015,FALSE
"Mrk509","UVW1",1019,57848.7931359053,241.775359988213,3.8080626,0.050674117,FALSE
"Mrk509","U",1019,57848.7952867498,120.777360022068,2.7527053,0.044172535,FALSE
"Mrk509","HX",1019,57848.79559,839.9460672,1.0557,0.09445,FALSE
"Mrk509","SX",1019,57848.79559,839.9460672,1.509325,0.11274,FALSE
"Mrk509","B",1019,57848.7967423541,120.777339994907,1.492977,0.024061443,FALSE
"Mrk509","UVW2",1019,57848.7994781091,340.398620009422,4.752298,0.05967524,FALSE
"Mrk509","UVW1",1020,57849.6430025543,172.775499999523,3.808585,0.05570807,FALSE
"Mrk509","U",1020,57849.6445587193,86.7739000320435,2.6244198,0.046514433,FALSE
"Mrk509","B",1020,57849.6456165514,86.7739199995995,1.5308152,0.02799335,FALSE
"Mrk509","HX",1020,57849.64712,1058.0799744,0.8809,0.052774,FALSE
"Mrk509","SX",1020,57849.64712,1058.0799744,1.400295,0.066581,FALSE
"Mrk509","UVW2",1020,57849.6481178571,345.429639995098,4.6354366,0.05825044,FALSE
"Mrk509","V",1020,57849.650676243,86.7738999724388,1.1721869,0.027149524,FALSE
"Mrk509","UVM2",1020,57849.6527359126,260.310699999332,4.015507,0.061244013,FALSE
"Mrk509","U",1021,57850.1116940489,80.772000014782,2.6609567,0.048255806,FALSE
"Mrk509","B",1021,57850.1126840746,80.7720200419426,1.5455792,0.028452371,FALSE
"Mrk509","HX",1021,57850.11409,1005.4279872,1.067483,0.070317,FALSE
"Mrk509","SX",1021,57850.11409,1005.4279872,1.842716,0.092417,FALSE
"Mrk509","V",1021,57850.1174971861,80.7278799414635,1.1687418,0.027866108,FALSE
"Mrk509","UVW1",1022,57851.1051329703,174.772499978542,3.6187104,0.05324155,FALSE
"Mrk509","U",1022,57851.1067048419,87.7779200077057,2.6233073,0.04631177,FALSE
"Mrk509","B",1022,57851.1077741669,87.7779200077057,1.473098,0.026506115,FALSE
"Mrk509","HX",1022,57851.10942,1089.31392,0.848732,0.077072,FALSE
"Mrk509","SX",1022,57851.10942,1089.31392,1.335366,0.098592,FALSE
"Mrk509","V",1022,57851.1129620656,87.777899980545,1.1413494,0.026520422,FALSE
"Mrk509","UVW1",1023,57852.5074881236,163.761599957943,3.67547,0.05498808,FALSE
"Mrk509","U",1023,57852.5089615415,81.7759799957275,2.6197631,0.047328935,FALSE
"Mrk509","B",1023,57852.5099606336,81.7759999632835,1.5002803,0.027602935,FALSE
"Mrk509","HX",1023,57852.51127,990.3840192,0.775904,0.080576,FALSE
"Mrk509","SX",1023,57852.51127,990.3840192,1.212444,0.100638,FALSE
"Mrk509","UVW2",1023,57852.5123891525,326.772940039635,4.4217752,0.056729613,FALSE
"Mrk509","V",1023,57852.514807711,81.7759799957275,1.1573653,0.027501752,FALSE
"Mrk509","UVM2",1023,57852.5167226373,240.473479986191,3.8649866,0.06088001,FALSE
"Mrk509","UVW1",1024,57853.4368126087,161.764660000801,3.5468315,0.05362448,FALSE
"Mrk509","U",1024,57853.4382679582,80.7609800100327,2.5527976,0.04632708,FALSE
"Mrk509","B",1024,57853.4392564517,80.7388999462128,1.4795124,0.02740417,FALSE
"Mrk509","HX",1024,57853.44057,985.3679808,0.717961,0.047624,FALSE
"Mrk509","SX",1024,57853.44057,985.3679808,0.923867,0.054118,FALSE
"Mrk509","UVW2",1024,57853.4416703499,324.776059985161,4.222359,0.05469217,FALSE
"Mrk509","V",1024,57853.4440723084,80.771980047226,1.17324965,0.027864597,FALSE
"Mrk509","UVM2",1024,57853.4459347521,232.849759995937,3.764866,0.06028442,FALSE
"Mrk509","UVW1",1025,57854.5717959087,91.78285998106,3.44322,0.063769315,FALSE
"Mrk509","U",1025,57854.5726419574,45.7645599842072,2.5714892,0.057249104,FALSE
"Mrk509","B",1025,57854.5732253998,45.7645600438118,1.4465581,0.03381606,FALSE
"Mrk509","HX",1025,57854.57354,569.1579264,0.674349,0.06171,FALSE
"Mrk509","SX",1025,57854.57354,569.1579264,0.937534,0.07273,FALSE
"Mrk509","UVW2",1025,57854.5746165819,183.775340020657,4.0845677,0.06266725,FALSE
"Mrk509","V",1025,57854.5759948669,45.7645599842072,1.13992136,0.03474069,FALSE
"Mrk509","UVM2",1025,57854.5770719812,132.130240023136,3.614752,0.070951577,FALSE
"Mrk509","UVW1",1026,57854.7057579676,81.7759999632835,3.4327308,0.06649169,FALSE
"Mrk509","U",1026,57854.7065153315,40.7776399850845,2.4189958,0.05654475,FALSE
"Mrk509","B",1026,57854.7070409914,40.7666400074959,1.4363824,0.03536613,FALSE
"Mrk509","HX",1026,57854.70722,508.9820544,0.653772,0.05501,FALSE
"Mrk509","SX",1026,57854.70722,508.9820544,0.873754,0.06339,FALSE
"Mrk509","UVW2",1026,57854.7082904312,163.77267998457,4.1421653,0.065769774,FALSE
"Mrk509","V",1026,57854.7095265268,40.7776800394058,1.1733796,0.037382764,FALSE
"Mrk509","UVM2",1026,57854.7104911411,117.456459999084,3.5119758,0.07269859,FALSE
"Mrk509","UVW1",1027,57855.1644614303,73.7660800218582,3.523909,0.07054016,FALSE
"Mrk509","U",1027,57855.1651487531,36.7506600022316,2.4234082,0.058934,FALSE
"Mrk509","B",1027,57855.1656273571,36.7727000117302,1.4078528,0.036279604,FALSE
"Mrk509","HX",1027,57855.16577,473.8799808,0.771497,0.070001,FALSE
